60.79	29.94		15.0		313		71		106.0		91		25		51		5.2	    0	0	0
63.97	29.53		128.1		42		89		92.0		154		2		22		5.6	    0	0	0
65.97	27.3		13.1		47		21		96.0		221		69		88		5.3	    0	0	0
65.95	27.36		20.0		41		23		73.0		240		68		97		5.4	    0	0	0
65.97	27.28		15.0		55		26		90.0		235		64		90		5.1	    0	0	0
66.00	26.68		15.4		79		85		-130		343		40		-8		5	    0	0	0
63.68	24.98		15.0		246		7		89.0		67		83		90		8.1	    0	0	0
63.37	25.14		15.0		236		7		68.0		78		84		93		6.8	    0	0	0
61.28	25.03		25.0		100		60		120.0		231		41		49		5.3	    0	0	0
61.23	25.08		25.0		250		30		75.0		87		61		98		5.7	    0	0	0
63.24	24.82		19.6		90		60		90.0		270		30		90		5.1	    0	0	0
63.07	25.13		29.9		85		84		85.0		309		8		133		5.6	    0	0	0
63.16	24.89		27.0		82		82		84.0		298		10		126		5.8	    0	0	0
63.24	25.11		23.6		95		84		93.0		249		6		64		6.4	    0	0	0
63.27	25.01		17.3		300		19		101.0		108		71		86		5.3	    0	0	0
63.55	25.05		26.3		324		52		79.0		12		39		104		5.6	    0	0	0
63.53	25.01		29.1		166		46		78.0		3		46		102		5	    0	0	0
64.21	29.01		22.5		194		51		63.0		53		46		119		5.1	    0	0	0
64.42	28.9		15.7		211		54		80.0		48		37		104		5.2	    0	0	0
62.72	25.26		20.0		100		90		120.0		190		30		0		5.3	    0	0	0
